VesselName	ShipType	IMO	Built	DWT	Destination	ETA
MSC IRENE	CONTAINER SHIP	9399040	2009	115000	SUEZ CANAL	12 March 2015 18:00
MSC JOY	CONTAINER SHIP	9039250	1992	31160	BREMERHAVEN	12 March 2015 18:00
MAERSK OHIO	CONTAINER SHIP	9298698	2006	59000	NEWARK	12 March 2015 18:00
DEVA	CONTAINER SHIP	9278105	2004	159460	TACOMA	12 March 2015 17:00
CSAV LONQUEN	CONTAINER SHIP	9360764	2008	53685	FELIXSTOWE	12 March 2015 17:00
WES GESA	CONTAINER SHIP	9504061	2009	0	ROTTERDAM	12 March 2015 17:00
MAERSK BROOKLYN	CONTAINER SHIP	9313931	2007	53201	HAIFA	12 March 2015 17:00
HENRIKE SCHEPERS	CONTAINER SHIP	9404091	2008	9300	LONDON	12 March 2015 17:00
MITRA BHUM	CONTAINER SHIP	9365673	2007	13760	SHANGHAI	12 March 2015 17:00
PENGALIA	CONTAINER SHIP	9440588	2007	8040	CORK	12 March 2015 17:00
ARX	CONTAINER SHIP	9328625	2005	9240	ROTTERDAM	12 March 2015 17:00
SAMSKIP EXPRESS	CONTAINER SHIP	9323479	2006	10500	DUBLIN	12 March 2015 16:30
SKIRNER	CONTAINER SHIP	9328039	2006	10500	NAPOLI	12 March 2015 16:10
K RIVER	CONTAINER SHIP	9138355	1997	7221	MARSAXLOKK	12 March 2015 16:00
MSC MICHAELA	CONTAINER SHIP	9230488	2002	85250	GIOIA TAURO	12 March 2015 16:00
COSCO PRIDE	CONTAINER SHIP	9472153	2011	0	PORT SAID	12 March 2015 16:00
OTTAWA EXPRESS	CONTAINER SHIP	9165360	1998	40879	BREMERHAVEN	12 March 2015 15:00
WMS GRONINGEN	CONTAINER SHIP	9339038	2005	8173	ALBORG	12 March 2015 15:00
LAPPLAND	CONTAINER SHIP	9186388	1998	6650	GOTEBORG	12 March 2015 15:00
SANDY RICKMERS	CONTAINER SHIP	9220079	2002	15315	BREMERHAVEN	12 March 2015 14:00
E.R. TALLINN	CONTAINER SHIP	9448671	2009	13760	KLAIPEDA	12 March 2015 14:00
RITA	CONTAINER SHIP	9318931	2005	8330	ROTTERDAM	12 March 2015 14:00
LIRCAY	CONTAINER SHIP	9294824	2006	51870	ANTWERP	12 March 2015 13:00
OOCL KUALA LUMPUR	CONTAINER SHIP	9367176	2007	66800	TACOMA	12 March 2015 13:00
MAERSK EINDHOVEN	CONTAINER SHIP	9456771	2010	0	LE HAVRE	12 March 2015 13:00
OOCL TEXAS	CONTAINER SHIP	9329552	2008	50500	TOKYO	12 March 2015 13:00
SANTA BETTINA	CONTAINER SHIP	9338084	2007	39000	THESSALONIKI	12 March 2015 13:00
STEFAN SIBUM	CONTAINER SHIP	9461594	2009	0	BREMERHAVEN	12 March 2015 13:00
JORK ROVER	CONTAINER SHIP	9323467	2006	10500	DUNKERQUE	12 March 2015 12:30
MSC MARIANNA	CONTAINER SHIP	9226920	2002	85250	LAS PALMAS	12 March 2015 12:30
VENETIKO	CONTAINER SHIP	9260914	2003	69000	TACOMA	12 March 2015 12:00
OCEAN PROTECTOR	CONTAINER SHIP	9064798	1995	41553	SINGAPORE	12 March 2015 12:00
MARGARETA B	CONTAINER SHIP	9121883	1998	5397	GRANGEMOUTH	12 March 2015 12:00
POLLUX	CONTAINER SHIP	9429194	2008	0	HELSINKI	12 March 2015 12:00
VEGA STOCKHOLM	CONTAINER SHIP	9358539	2006	8400	GREENOCK	12 March 2015 12:00
TORONTO EXPRESS	CONTAINER SHIP	9253727	2003	59000	HAMBURG	12 March 2015 11:00
KOLLMAR	CONTAINER SHIP	9056284	1993	21647	LAS PALMAS	12 March 2015 11:00
XIN OU ZHOU	CONTAINER SHIP	9337913	2007	101000	OAKLAND	12 March 2015 11:00
WES AMELIE	CONTAINER SHIP	9504059	2009	0	CASABLANCA	12 March 2015 10:00
CMA CGM TOSCA	CONTAINER SHIP	9299783	2005	101000	PORT SAID	12 March 2015 10:00
WESTERN NAVIGATOR	CONTAINER SHIP	9470985	2010	0	SEATTLE	12 March 2015 10:00
MSC LORENA	CONTAINER SHIP	9320403	2006	55000	BREMERHAVEN	12 March 2015 10:00
MILAN EXPRESS	CONTAINER SHIP	9112296	1996	33659	VALENCIA	12 March 2015 09:00
SANTA PHILIPPA	CONTAINER SHIP	9290426	2005	66800	LIVORNO	12 March 2015 09:00
HATTA	CONTAINER SHIP	9302140	2006	99500	PORT SAID	12 March 2015 09:00
K-STORM	CONTAINER SHIP	9389435	2008	10500	PORT EVERGLADES	12 March 2015 08:30
CALISTO	CONTAINER SHIP	9306067	2005	19500	BREMERHAVEN	12 March 2015 08:30
SELFOSS	CONTAINER SHIP	8914556	1991	8675	ROTTERDAM	12 March 2015 08:00
TONGAN II	CONTAINER SHIP	9371402	2007	13500	BARI	12 March 2015 08:00
CHRISTOPHER	CONTAINER SHIP	9359260	2007	22000	HAMBURG	12 March 2015 08:00
MAERSK REGENSBURG	CONTAINER SHIP	9332676	2006	13760	MARSAXLOKK	12 March 2015 08:00
CAP BRETON	CONTAINER SHIP	9222120	2001	34717	HAMBURG	12 March 2015 08:00
JANINA	CONTAINER SHIP	9235385	2002	8000	MARSEILLE	12 March 2015 08:00
CMA CGM LYRA	CONTAINER SHIP	9410806	2010	0	LONG BEACH	12 March 2015 08:00
MSC AURORA	CONTAINER SHIP	9484481	2011	0	SINES	12 March 2015 08:00
MOZAMBIQUE	CONTAINER SHIP	9152296	1998	82275	PORT EVERGLADES	12 March 2015 07:30
SEASPAN HAMBURG	CONTAINER SHIP	9224300	2001	50500	VALENCIA	12 March 2015 07:00
ANDREA	CONTAINER SHIP	9333357	2005	11200	OSLO	12 March 2015 07:00
MATILDE A	CONTAINER SHIP	9292448	2004	18400	CASABLANCA	12 March 2015 07:00
GODAFOSS	CONTAINER SHIP	9086796	1995	17042	HALMSTAD	12 March 2015 07:00
MOL EXCELLENCE	CONTAINER SHIP	9251377	2003	50800	GLADSTONE	12 March 2015 07:00
HONG KONG BRIDGE	CONTAINER SHIP	9395161	2009	99000	PORT SAID	12 March 2015 07:00
YM UNICORN	CONTAINER SHIP	9462732	2011	99000	PORT SAID	12 March 2015 07:00
JPO AQUARIUS	CONTAINER SHIP	9220316	2000	33900	ALGECIRAS	12 March 2015 06:30
CONMAR FJORD	CONTAINER SHIP	9244192	2002	8000	GIJON	12 March 2015 06:00
VOHBURG	CONTAINER SHIP	9287807	2005	10500	KRONSHTADT	12 March 2015 06:00
JORK RIDER	CONTAINER SHIP	9322566	2006	10500	LEIXOES	12 March 2015 06:00
DURANDE	CONTAINER SHIP	9256365	2003	23580	CHARLESTON	12 March 2015 06:00
OCEAN	CONTAINER SHIP	9127021	1996	14587	PORT EVERGLADES	12 March 2015 06:00
HELENA SIBUM	CONTAINER SHIP	9390824	2006	8200	MARSAXLOKK	12 March 2015 06:00
HOHEPLATE	CONTAINER SHIP	9366237	2007	11500	ALGER	12 March 2015 06:00
ZAGORA	CONTAINER SHIP	9111486	1995	14100	LIMASSOL	12 March 2015 06:00
MAERSK GEORGIA	CONTAINER SHIP	9155119	1997	62242	SEATTLE	12 March 2015 05:30
ALDEBARAN J	CONTAINER SHIP	9349186	2006	10500	HELSINGBORG	12 March 2015 05:30
CHARLOTTE BORCHARD	CONTAINER SHIP	9212022	2000	15315	LEIXOES	12 March 2015 05:00
CERES	CONTAINER SHIP	9429211	2009	0	FREDERICIA	12 March 2015 05:00
ELBTRADER	CONTAINER SHIP	9388534	2008	10400	ROTTERDAM	12 March 2015 05:00
LILOA	CONTAINER SHIP	9264245	2003	6030	AUCKLAND	12 March 2015 05:00
CMA CGM F. ST PIERRE	CONTAINER SHIP	9261891	2003	30700	LE HAVRE	12 March 2015 05:00
IDA RAMBOW	CONTAINER SHIP	9354478	2007	11200	HAMBURG	12 March 2015 05:00
PAGE AKIA	CONTAINER SHIP	9277395	2003	8900	KOTKA	12 March 2015 04:00
CMA CGM FIGARO	CONTAINER SHIP	9450600	2009	0	NEW YORK	12 March 2015 04:00
MSC VIENNA	CONTAINER SHIP	9253296	2003	37230	LAS PALMAS	12 March 2015 04:00
MSC MALIN	CONTAINER SHIP	8201636	1982	21370	HELSINKI	12 March 2015 04:00
SARA BORCHARD	CONTAINER SHIP	9354399	2006	11431	GENOVA	12 March 2015 04:00
WESTPHALIA	CONTAINER SHIP	9219408	2003	42200	FOS	12 March 2015 03:30
COSCO PIRAEUS	CONTAINER SHIP	9484364	2012	0	PANAMA CANAL	12 March 2015 03:00
JORK VALIANT	CONTAINER SHIP	9216107	2000	18452	ANNABA	12 March 2015 03:00
NORDEROOG	CONTAINER SHIP	9256315	2004	18000	RAUMA	12 March 2015 03:00
BF FORTALEZA	CONTAINER SHIP	9130432	1996	7225	KALININGRAD	12 March 2015 03:00
BOMAR JULIANA	CONTAINER SHIP	9275036	2003	34567	ROTTERDAM	12 March 2015 03:00
ALMA	CONTAINER SHIP	9183415	1998	5350	BLYTH	12 March 2015 02:30
MSC CLAUDIA	CONTAINER SHIP	8803410	1989	59367	GIOIA TAURO	12 March 2015 02:00
MANULANI	CONTAINER SHIP	9273674	2005	30000	HONOLULU	12 March 2015 02:00
MSC CARMEN	CONTAINER SHIP	9349813	2008	63300	BALBOA	12 March 2015 02:00
FOWAIRET	CONTAINER SHIP	9152260	1998	49993	NEW YORK	12 March 2015 01:00
GENUINE ACE	CONTAINER SHIP	9610418	0	0	CHIBA	12 March 2015 00:30
MSC NEDERLAND	CONTAINER SHIP	8918954	1992	47120	ANTWERP	12 March 2015 00:01
CMA CGM NEVADA	CONTAINER SHIP	9471408	2012	0	HAMBURG	12 March 2015 00:01
CAP EGMONT	CONTAINER SHIP	9334351	2007	42200	DUNKERQUE	11 March 2015 23:59
CSAV PETORCA	CONTAINER SHIP	9215830	2001	80000	HAMBURG	11 March 2015 23:30
CONMAR AVENUE	CONTAINER SHIP	9483358	2011	0	RIGA	11 March 2015 23:00
MAERSK KIEL	CONTAINER SHIP	9153850	1998	88669	WILHELMSHAVEN	11 March 2015 23:00
ICE CRYSTAL	CONTAINER SHIP	9440590	2008	8040	LONDON	11 March 2015 23:00
NORTHERN DEBONAIR	CONTAINER SHIP	9353228	2007	41500	TANGER	11 March 2015 23:00
ANNABELLA S	CONTAINER SHIP	9354363	2006	11200	DRAMMEN	11 March 2015 23:00
PALENA	CONTAINER SHIP	9306196	2006	80250	HAMBURG	11 March 2015 23:00
BF VALENCIA	CONTAINER SHIP	9126259	1996	5215	CASABLANCA	11 March 2015 23:00
COSCO YANTIAN	CONTAINER SHIP	9305594	2006	101000	FELIXSTOWE	11 March 2015 23:00
MSC GEMMA	CONTAINER SHIP	9214202	2000	67566	GIOIA TAURO	11 March 2015 22:30
EMMA MAERSK	CONTAINER SHIP	9321483	2006	156907	BREMERHAVEN	11 March 2015 22:30
OOCL NOVGOROD	CONTAINER SHIP	9386524	2009	22000	HAMBURG	11 March 2015 22:00
YM VANCOUVER	CONTAINER SHIP	9363364	2007	50632	ANTWERP	11 March 2015 22:00
CMA CGM PELLEAS	CONTAINER SHIP	9365788	2008	120000	MARSAXLOKK	11 March 2015 22:00
USS DE WERT	CONTAINER SHIP	9251690	2003	79500	SAVANNAH	11 March 2015 22:00
XIN PU DONG	CONTAINER SHIP	9270440	2003	69000	MARSAXLOKK	11 March 2015 22:00
AKACIA	CONTAINER SHIP	9315020	2004	10950	ANTWERP	11 March 2015 22:00
OPDR LISBOA	CONTAINER SHIP	9389291	2007	8400	ROTTERDAM	11 March 2015 22:00
MSC BHAVYA	CONTAINER SHIP	9297876	2005	66800	BALBOA	11 March 2015 21:00
AURORA	CONTAINER SHIP	9234989	2001	11386	RIGA	11 March 2015 21:00
HELLE RITSCHER	CONTAINER SHIP	9333371	2006	22300	ST PETERSBURG	11 March 2015 21:00
OOCL KOBE	CONTAINER SHIP	9329526	2007	50500	PORT SAID	11 March 2015 21:00
IRIS BOLTEN	CONTAINER SHIP	9369007	2008	10500	LIVERPOOL	11 March 2015 21:00
BANGKOK BRIDGE	CONTAINER SHIP	9463279	2010	0	NAGOYA	11 March 2015 20:00
CMA CGM AUCKLAND	CONTAINER SHIP	9344564	2006	34500	SAVANNAH	11 March 2015 20:00
JAKARTA EXPRESS	CONTAINER SHIP	9301794	2006	50500	LE HAVRE	11 March 2015 20:00
MAERSK KOKURA	CONTAINER SHIP	9085560	1997	84900	ROTTERDAM	11 March 2015 20:00
MEERA	CONTAINER SHIP	9368041	2008	10500	GDANSK	11 March 2015 20:00
SOFIE MAERSK	CONTAINER SHIP	9146479	1998	104696	SUEZ CANAL	11 March 2015 19:00
SLIDUR	CONTAINER SHIP	9328053	2007	9281	ROTTERDAM	11 March 2015 19:00
WYBELSUM	CONTAINER SHIP	9386976	2008	17200	BREMERHAVEN	11 March 2015 19:00
MAHIMAHI	CONTAINER SHIP	7907996	1983	30825	HONOLULU	11 March 2015 19:00
CPO NORWAY	CONTAINER SHIP	9353113	2008	28500	ROTTERDAM	11 March 2015 19:00
CMA CGM TITAN	CONTAINER SHIP	9399222	2009	0	ROTTERDAM	11 March 2015 18:00
WEGA	CONTAINER SHIP	9141118	1996	8912	ROTTERDAM	11 March 2015 18:00
SAMBA	CONTAINER SHIP	9428205	2007	8040	ROTTERDAM	11 March 2015 18:00
CSCL CHIWAN	CONTAINER SHIP	9224312	2001	50500	OAKLAND	11 March 2015 18:00
COSCO PHILIPPINES	CONTAINER SHIP	9448762	2010	0	LONG BEACH	11 March 2015 18:00
TRANSJORUND	CONTAINER SHIP	9349227	2007	9500	SUNDSVALL	11 March 2015 18:00
SEVERINE	CONTAINER SHIP	9539078	0	0	HARWICH	11 March 2015 18:00
MAERSK SEOUL	CONTAINER SHIP	9306550	2006	100000	TANGER	11 March 2015 17:30
CMA CGM QUARTZ	CONTAINER SHIP	9385611	2008	50632	ADELAIDE	11 March 2015 17:30
KOTA HARUM	CONTAINER SHIP	9238636	2002	17250	KLANG	11 March 2015 17:00
FRISIA KIEL	CONTAINER SHIP	9302437	2004	33900	ALGECIRAS	11 March 2015 17:00
HANJIN AMERICA	CONTAINER SHIP	9502946	2012	0	ALGECIRAS	11 March 2015 17:00
BUFFALO	CONTAINER SHIP	9313943	2007	52400	FELIXSTOWE	11 March 2015 17:00
REINBEK	CONTAINER SHIP	9313204	2005	22000	GDYNIA	11 March 2015 17:00
YORKTOWN EXPRESS	CONTAINER SHIP	9243174	2002	40478	SAVANNAH	11 March 2015 16:00
MSC LAUREN	CONTAINER SHIP	9467407	2010	0	LOS ANGELES	11 March 2015 16:00
HYUNDAI SUPREME	CONTAINER SHIP	9347619	2008	62000	OAKLAND	11 March 2015 16:00
RUMBA	CONTAINER SHIP	9264714	2003	8330	BREMERHAVEN	11 March 2015 15:30
JRS CAPELLA	CONTAINER SHIP	9329564	2004	8461	ALGECIRAS	11 March 2015 15:00
MSC TAMARA	CONTAINER SHIP	9351579	2008	52000	PHILADELPHIA	11 March 2015 15:00
NJORD	CONTAINER SHIP	9123805	1995	8001	HAMBURG	11 March 2015 15:00
ROBERT	CONTAINER SHIP	9354349	2006	11257	HAMBURG	11 March 2015 15:00
MSC ATLANTIC	CONTAINER SHIP	8913447	1991	46975	ST PETERSBURG	11 March 2015 15:00
AKERDIJK	CONTAINER SHIP	9491501	2010	0	BREMERHAVEN	11 March 2015 14:30
CONMAR HAWK	CONTAINER SHIP	9244207	2002	8000	GOTEBORG	11 March 2015 14:00
HORIZON ANCHORAGE	CONTAINER SHIP	8419142	1987	21282	TACOMA	11 March 2015 14:00
EILBEK	CONTAINER SHIP	9313199	2005	22000	ST PETERSBURG	11 March 2015 14:00
MANFRED	CONTAINER SHIP	9433444	2009	9500	LEIXOES	11 March 2015 14:00
MSC JUDITH	CONTAINER SHIP	9299549	2006	101000	SAVANNAH	11 March 2015 14:00
JULES POINT	CONTAINER SHIP	9610690	0	0	PORT ANGELES	11 March 2015 14:00
HAMBURG BRIDGE	CONTAINER SHIP	9395159	2009	99000	HAMBURG	11 March 2015 13:00
STINA	CONTAINER SHIP	9246530	2004	11200	MARSAXLOKK	11 March 2015 13:00
XIN CHANG SHU	CONTAINER SHIP	9304813	2005	69303	KLANG	11 March 2015 13:00
MAERSK JUBAIL	CONTAINER SHIP	9349045	2008	39000	TANGER	11 March 2015 13:00
MSC MARINA	CONTAINER SHIP	9275971	2003	85250	FELIXSTOWE	11 March 2015 13:00
MICHAEL J	CONTAINER SHIP	9164421	1998	6850	PORT EVERGLADES	11 March 2015 13:00
FEDERAL	CONTAINER SHIP	9065625	1994	61152	MELBOURNE	11 March 2015 12:30
MSC VANDYA	CONTAINER SHIP	9484467	2011	0	FELIXSTOWE	11 March 2015 12:30
ALINA	CONTAINER SHIP	9468085	2009	10600	LIVORNO	11 March 2015 12:00
ZIM CONSTANZA	CONTAINER SHIP	9471202	2010	0	SAVANNAH	11 March 2015 12:00
LAHORE EXPRESS	CONTAINER SHIP	9301811	2006	50500	GENOVA	11 March 2015 12:00
APL SCOTLAND	CONTAINER SHIP	9218662	2001	67868	SAVANNAH	11 March 2015 12:00
HENNEKE RAMBOW	CONTAINER SHIP	9354430	2007	11390	HAMBURG	11 March 2015 12:00
HS BRUCKNER	CONTAINER SHIP	9392559	2009	41500	SAVANNAH	11 March 2015 11:30
BODO SCHULTE	CONTAINER SHIP	9461623	2010	0	ROTTERDAM	11 March 2015 11:30
EMSDOLLART	CONTAINER SHIP	9552044	0	0	KEMI	11 March 2015 11:00
KUO HSIUNG	CONTAINER SHIP	9055448	1993	18154	KLANG	11 March 2015 11:00
SANTA GIOVANNA	CONTAINER SHIP	9126479	1996	30100	LIVERPOOL	11 March 2015 11:00
SHIPPAN ISLAND	CONTAINER SHIP	9301562	2005	13760	SAVANNAH	11 March 2015 11:00
MSC ANGELA	CONTAINER SHIP	9351593	2007	52000	ANTWERP	11 March 2015 10:00
BOMAR RESILIENT	CONTAINER SHIP	9240873	2002	33220	ALGECIRAS	11 March 2015 10:00
MSC KATYAYNI	CONTAINER SHIP	9110389	1996	68363	FELIXSTOWE	11 March 2015 10:00
CONTAINERSHIPS VIII	CONTAINER SHIP	9336244	2006	13174	RIGA	11 March 2015 09:15
GLORIA	CONTAINER SHIP	9230787	2001	22900	CASABLANCA	11 March 2015 09:00
EM ITHAKI	CONTAINER SHIP	9178537	1999	28917	ROTTERDAM	11 March 2015 09:00
MOL MODERN	CONTAINER SHIP	9475636	2011	0	NORFOLK	11 March 2015 08:00
CSAV HOUSTON	CONTAINER SHIP	9208021	2000	67500	SAVANNAH	11 March 2015 08:00
GREEN FAST	CONTAINER SHIP	9128544	1996	7200	CASABLANCA	11 March 2015 08:00
ARNOLD MAERSK	CONTAINER SHIP	9260433	2003	105750	NEWARK	11 March 2015 08:00
LEDA TRADER	CONTAINER SHIP	9213117	2000	34600	SAN DIEGO	11 March 2015 07:15
XIN HONG KONG	CONTAINER SHIP	9314222	2007	108000	HAMBURG	11 March 2015 07:00
LAS PALMAS	CONTAINER SHIP	9216834	2002	7900	LEIXOES	11 March 2015 07:00
SLEIPNER	CONTAINER SHIP	9322554	2005	10500	LUBECK	11 March 2015 07:00
ELITE	CONTAINER SHIP	9315018	2005	11243	VIGO	11 March 2015 07:00
CHOAPA TRADER	CONTAINER SHIP	9407885	2008	0	ANTWERP	11 March 2015 06:45
META	CONTAINER SHIP	9232747	2001	39200	LISBOA	11 March 2015 06:00
SANTA PAMINA	CONTAINER SHIP	9326782	2006	66800	HAMBURG	11 March 2015 06:00
MSC PATRICIA	CONTAINER SHIP	9150200	1997	49308	LAS PALMAS	11 March 2015 06:00
UNI PHOENIX	CONTAINER SHIP	9202170	2000	19309	PIRAEUS	11 March 2015 06:00
APL IRIS	CONTAINER SHIP	9144768	1998	62550	KLANG	11 March 2015 06:00
EVER ELITE	CONTAINER SHIP	9241281	2002	75000	TACOMA	11 March 2015 06:00
APL BELGIUM	CONTAINER SHIP	9218686	2002	69000	HALIFAX	11 March 2015 06:00
SEALAND ILLINOIS	CONTAINER SHIP	9197545	2000	81577	ALGECIRAS	11 March 2015 05:30
LINDAVIA	CONTAINER SHIP	9122435	1996	30743	PUSAN	11 March 2015 05:00
ELISABETH-S.	CONTAINER SHIP	9418652	2009	0	FELIXSTOWE	11 March 2015 05:00
MSC SENA	CONTAINER SHIP	9116369	1996	35966	VALENCIA	11 March 2015 05:00
MAERSK SHEERNESS	CONTAINER SHIP	9299939	2006	99000	KLANG	11 March 2015 04:30
HAMBURG EXPRESS	CONTAINER SHIP	9461051	2010	0	ROTTERDAM	11 March 2015 04:00
CMA CGM UTRILLO	CONTAINER SHIP	9192430	1999	30600	ROTTERDAM	11 March 2015 04:00
MSC IRIS	CONTAINER SHIP	8201624	1982	21370	ANTWERP	11 March 2015 03:00
YM MARCH	CONTAINER SHIP	9298997	2004	66500	SEATTLE	11 March 2015 02:40
RIO THOMPSON	CONTAINER SHIP	9286786	2004	33870	ROTTERDAM	11 March 2015 02:30
PHOENIX J	CONTAINER SHIP	9504047	2009	0	ROTTERDAM	11 March 2015 02:30
PASSAT SPRING	CONTAINER SHIP	9316359	2006	39300	AUCKLAND	11 March 2015 02:00
XIN DA YANG ZHOU	CONTAINER SHIP	9337949	2008	101000	LOS ANGELES	11 March 2015 02:00
DORIS SCHEPERS	CONTAINER SHIP	9404065	2007	9332	TEESPORT	11 March 2015 01:30
HANJIN BREMERHAVEN	CONTAINER SHIP	9312779	2006	79000	KLANG	11 March 2015 01:30
REBEL 2	CONTAINER SHIP	1170280	0	0	LOS ANGELES	11 March 2015 01:30
CAPITAINE TASMAN	CONTAINER SHIP	9359674	2008	12000	MELBOURNE	11 March 2015 01:00
XIN YA ZHOU	CONTAINER SHIP	9334935	2007	101000	TIANJIN	11 March 2015 01:00
E.R. CANNES	CONTAINER SHIP	9301457	2005	33870	TANGER	11 March 2015 00:00
GRETE MAERSK	CONTAINER SHIP	9302889	2005	105750	SOUTHAMPTON	10 March 2015 23:00
MAERSK EVORA	CONTAINER SHIP	9458080	2011	0	FELIXSTOWE	10 March 2015 23:00
SOUNION	CONTAINER SHIP	9106493	1996	13700	DAMIETTA	10 March 2015 23:00
MARIA-KATHARINA S	CONTAINER SHIP	9429326	2009	33800	MELBOURNE	10 March 2015 23:00
HOLANDIA	CONTAINER SHIP	9204506	2000	9100	MARSAXLOKK	10 March 2015 22:00
JORK RANGER	CONTAINER SHIP	9322542	2005	10500	KOKKOLA	10 March 2015 22:00
MOL MANEUVER	CONTAINER SHIP	9475648	2011	0	LOS ANGELES	10 March 2015 21:30
PICTOR J	CONTAINER SHIP	9371426	2008	13500	SZCZECIN	10 March 2015 21:30
EM ASTORIA	CONTAINER SHIP	9243617	2004	35600	KLANG	10 March 2015 21:00
CMA CGM CHOPIN	CONTAINER SHIP	9280603	2004	65800	KLANG	10 March 2015 21:00
MSC UMA	CONTAINER SHIP	9163192	1998	29240	LE HAVRE	10 March 2015 21:00
AMANDA	CONTAINER SHIP	9217565	2000	22900	PIRAEUS	10 March 2015 20:30
CORAL BAY	CONTAINER SHIP	9304758	2005	34500	LONG BEACH	10 March 2015 19:30
SEALAND WASHINGTON	CONTAINER SHIP	9196852	2000	81094	NORFOLK	10 March 2015 19:00
FRISIA ROSTOCK	CONTAINER SHIP	9311842	2004	33900	ALGECIRAS	10 March 2015 19:00
MAGELLAN COMET	CONTAINER SHIP	9242596	2002	7970	TANGER	10 March 2015 19:00
JESSICA B	CONTAINER SHIP	9226384	2000	8000	TURKU	10 March 2015 19:00
MAERSK KOTKA	CONTAINER SHIP	9085534	1996	84900	LE HAVRE	10 March 2015 18:30
MSC CHARLESTON	CONTAINER SHIP	9299537	2006	101000	KAO HSIUNG	10 March 2015 18:30
NORTHERN JAMBOREE	CONTAINER SHIP	9450363	2010	115000	BREMERHAVEN	10 March 2015 18:00
COSCO KOREA	CONTAINER SHIP	9448750	2009	0	LONG BEACH	10 March 2015 18:00
CEPHEUS J	CONTAINER SHIP	9292943	2003	8100	ROTTERDAM	10 March 2015 18:00
NILEDUTCH LUANDA	CONTAINER SHIP	9334387	2008	42200	LE HAVRE	10 March 2015 18:00
MSC TIA	CONTAINER SHIP	9193680	1999	29240	VALENCIA	10 March 2015 17:30
PEGASUS VOYAGER	CONTAINER SHIP	9665736	0	0	SAN FRANCISCO	10 March 2015 17:00
NICOLAS DELMAS	CONTAINER SHIP	9220861	2002	30700	TANGER	10 March 2015 17:00
NORDIC PHILIP	CONTAINER SHIP	9483669	2010	0	HAMBURG	10 March 2015 16:00
CMA CGM LAPEROUSE	CONTAINER SHIP	9454412	2010	0	KLANG	10 March 2015 16:00
INDIA	CONTAINER SHIP	9287699	2003	8700	ROTTERDAM	10 March 2015 15:00
WESTERMOOR	CONTAINER SHIP	9222106	2001	35600	MERSIN	10 March 2015 15:00
FRISIA HELSINKI	CONTAINER SHIP	9299044	2005	33750	HAMBURG	10 March 2015 14:30
LIVERPOOL EXPRESS	CONTAINER SHIP	9232565	2002	51455	ANTWERP	10 March 2015 14:00
ATLANTIC COAST	CONTAINER SHIP	9129469	1995	7850	ST PETERSBURG	10 March 2015 14:00
EVER SMILE	CONTAINER SHIP	9300415	2006	78200	OAKLAND	10 March 2015 14:00
MAERSK KARACHI	CONTAINER SHIP	9162215	1998	88669	TANGER	10 March 2015 13:30
CMA CGM RACINE	CONTAINER SHIP	9406647	2009	0	VALENCIA	10 March 2015 13:00
SEASPAN DALIAN	CONTAINER SHIP	9227027	2002	50500	LOS ANGELES	10 March 2015 13:00
SEAGO PIRAEUS	CONTAINER SHIP	9313955	2007	51000	VALENCIA	10 March 2015 12:30
E.R.PUSAN	CONTAINER SHIP	9211169	2000	67500	ROTTERDAM	10 March 2015 12:30
MSC FABIENNE	CONTAINER SHIP	9279965	2004	55000	HAMBURG	10 March 2015 12:00
CAP PALLISER	CONTAINER SHIP	9344679	2007	22000	LONG BEACH	10 March 2015 12:00
MSC SANTHYA	CONTAINER SHIP	8913411	1991	47120	ANTWERP	10 March 2015 12:00
ATOUT	CONTAINER SHIP	9354648	2008	23980	KLANG	10 March 2015 11:30
JORK RELIANCE	CONTAINER SHIP	9328041	2007	9400	LE HAVRE	10 March 2015 11:00
MOL EXPEDITOR	CONTAINER SHIP	9251389	2003	61441	SAVANNAH	10 March 2015 11:00
FESCO VORONEZH	CONTAINER SHIP	9322011	2008	22900	ROTTERDAM	10 March 2015 11:00
XIN FEI ZHOU	CONTAINER SHIP	9337937	2008	101000	SHANGHAI	10 March 2015 11:00
MELBOURNE STRAIT	CONTAINER SHIP	9362736	2008	25899	PORT EVERGLADES	10 March 2015 10:00
MAERSK PITTSBURGH	CONTAINER SHIP	9342176	2008	76000	SUEZ CANAL	10 March 2015 10:00
OCEAN PROLOGUE	CONTAINER SHIP	9108221	1995	18586	KLANG	10 March 2015 09:00
MSC LEA	CONTAINER SHIP	9162643	2000	14150	NOVOROSSIYSK	10 March 2015 09:00
GORKY PARK	CONTAINER SHIP	9354351	2006	11267	RIGA	10 March 2015 08:00
ITAL USODIMARE	CONTAINER SHIP	9196979	2000	63888	TOKYO	10 March 2015 08:00
OOCL BRISBANE	CONTAINER SHIP	9445502	2009	50500	ADELAIDE	10 March 2015 07:30
NEUBURG	CONTAINER SHIP	9287792	2004	10500	LAS PALMAS	10 March 2015 07:30
MAERSK ANTWERP	CONTAINER SHIP	9175781	1999	17375	SKIKDA	10 March 2015 07:00
ELBFEEDER	CONTAINER SHIP	9388522	2008	10400	ANTWERP	10 March 2015 06:45
MAERSK PHUKET	CONTAINER SHIP	9168219	1998	38170	MERSIN	10 March 2015 06:30
SAFMARINE NIMBA	CONTAINER SHIP	9289192	2004	27545	ALGECIRAS	10 March 2015 06:30
